AI_1_Algorithm,AI_2_Algorithm,Winner
greedy,genetic,greedy
greedy,genetic,greedy
greedy,Stochastic,greedy
greedy,genetic,greedy
bfs,genetic,genetic
bfs,genetic,genetic
greedy,bfs,greedy
bfs,SA,bfs
bfs,SA,bfs
SA,bfs,SA
greedy,genetic,greedy
genetic,Stochastic,genetic
greedy,Stochastic,Stochastic
greedy,SA,SA
greedy,genetic,genetic
Stochastic,SA,SA
UCS,SA,SA
genetic,UCS,genetic
greedy,UCS,greedy
Stochastic,UCS,Stochastic
UCS,Stochastic,Stochastic
Stochastic,UCS,Stochastic
Stochastic,SA,SA
SA,UCS,SA
Stochastic,SA,SA
UCS,Stochastic,UCS
UCS,Stochastic,UCS
UCS,genetic,genetic
greedy,UCS,greedy
greedy,UCS,greedy
greedy,UCS,greedy
SA,UCS,SA
UCS,Stochastic,Stochastic
greedy,qlearning,greedy
qlearning,UCS,qlearning
greedy,qlearning,greedy
Stochastic,qlearning,qlearning
Stochastic,qlearning,Stochastic
greedy,SA,greedy
qlearning,UCS,UCS
qlearning,greedy,greedy
UCS,qlearning,UCS
qlearning,SA,SA
UCS,qlearning,UCS
greedy,qlearning,greedy
qlearning,greedy,greedy
backtracking,greedy,backtracking
backtracking,UCS,backtracking
backtracking,qlearning,backtracking
qlearning,SA,SA
greedy,backtracking,backtracking
SA,backtracking,SA
backtracking,qlearning,backtracking
greedy,andor,andor
andor,Stochastic,andor
genetic,andor,genetic
qlearning,andor,andor
qlearning,UCS,UCS
andor,backtracking,backtracking
backtracking,greedy,backtracking
andor,qlearning,andor
qlearning,andor,andor
